id,name,speciality,location_miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Dr. Aanya Mehra,Family Medicine,2.1,09:00-11:00,09:00-12:00,08:30-11:30,Closed,09:30-12:30,08:00-10:30,09:00-11:00
2,Dr. Rohan Kapoor,Internal Medicine,4.8,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30,10:00-13:00,09:00-11:00
3,Dr. Sana Iqbal,Endocrinology,5.6,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,Closed,09:30-12:30,08:00-10:30;11:30-13:30,09:00-11:00
4,Dr. Arjun Seth,Cardiology,6.3,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30,Closed,09:30-12:30;15:00-17:00,08:00-10:30,Closed
5,Dr. Priya Nair,Pediatrics,3.4,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,Closed,09:30-12:30;15:00-17:00,Closed
6,Dr. Vikram Rao,Orthopedics,7.2,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,09:00-11:00
7,Dr. Meera Joshi,Dermatology,4,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30,Closed,09:00-11:00
8,Dr. Kabir Singh,ENT,8.1,Closed,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00;14:00-16:00,09:00-11:00
9,Dr. Nisha Patel,General Practice,1.9,08:30-11:30,10:00-13:00,09:30-12:30,Closed,10:30-13:30,Closed,Closed
10,Dr. Farhan Ali,Neurology,9.4,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30,08:00-10:30,Closed
11,Dr. Tanya Desai,Psychiatry,5.1,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,09:00-11:00
12,Dr. Ishan Khanna,Gastroenterology,6.7,09:30-12:30;15:00-17:00,Closed,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30;13:30-15:30,09:00-11:00
13,Dr. Aditi Verma,OBGYN,3.7,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed,09:00-11:00
14,Dr. Mohit Bansal,Pulmonology,8.8,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30,Closed,10:30-13:30,Closed
15,Dr. Rhea Malhotra,Nephrology,7.9,10:00-13:00,09:30-12:30;15:00-17:00,Closed,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,Closed
16,Dr. Dev Shah,Ophthalmology,2.8,Closed,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:00-11:00
